Name,Age,Occupation,Salary,Car Model,Home State,Location,Children
Garrett,45,Nurse,213124,CT5 A2LL,Alaska,"(34.0522, -118.2437)",3
Bailie,23,Chef,325173,CAMARO A1BC COUPE,Washington,"(47.6062, -122.3321)",2
David,34,Lieutenant,220301,TRAX 9BQC1,New-Hampshire,"(33.4484, -112.0740)",2
Helen,59,Artist,351661,SIERRA T1RGH HD REG,New-York,"(34.0522, -118.2437)",6
Grace,38,Diesil-Mechanic,301206,CORVETTE Y200,Massachusetts,"(37.7749, -122.4194)",1
Max,39,Accountant,286737,SILVERADO T1CCH HD CREW,Indiana,"(41.8781, -87.6298)",5
Charlie,52,Chef,112953,CT4 A2SL,New-York,"(39.7392, -104.9903)",4
David,50,Teacher,329929,EXPRESS VAN 610,Illinois,"(25.7617, -80.1918)",2
David,46,Police-Officer,323156,BOLT C110,Michigan,"(39.7392, -104.9903)",2
Grace,53,Chef,386449,ACADIA C1UG,Massachusetts,"(25.7617, -80.1918)",0
Grace,43,Police-Officer,353628,LCF 6500XD I-700N,Montana,"(40.7128, -74.0060)",4
Helen,23,Mechanic,268085,SIERRA T1CGH HD CREW,New-Jersey,"(39.7392, -104.9903)",1
Bob,22,Nurse,80651,SILVERADO T1RCH HD REG,New-Jersey,"(42.3601, -71.0589)",3
Eva,57,Lawyer,352302,SUBURBAN T1YCF,Montana,"(33.4484, -112.0740)",2
Max,21,Data-Scientist,186274,COLORADO 31XCN,Wyoming,"(40.7128, -74.0060)",6
Garrett,59,Engineer,245567,ESCALADE ESV T1YLF,New-Mexico,"(40.7128, -74.0060)",0
Levi,41,Data-Scientist,408139,EQUINOX D2UC,Oregon,"(34.0522, -118.2437)",5
Ivy,39,Data-Engineer,84473,COLORADO 31CC2,Oregon,"(37.7749, -122.4194)",0
Garrett,32,Engineer,83400,SILVERADO T1RCF LD REG,New-Mexico,"(39.7392, -104.9903)",1
Bob,51,Driver,42520,CORVETTE Y200,Oregon,"(37.7749, -122.4194)",7
Grace,27,Doctor,202115,EQUINOX D2UC,New-York,"(42.3601, -71.0589)",3
Grace,21,Data-Scientist,430290,EXPRESS VAN 610,New-Mexico,"(33.4484, -112.0740)",1
Eva,57,Software-Developer,199074,SIERRA T1EGF LD DBL,New-Jersey,"(42.3601, -71.0589)",6
Ivy,55,Data-Scientist,102428,SIERRA T1CGF LD CREW,Indiana,"(34.0522, -118.2437)",7
Helen,35,Artist,270432,CT4 A2SL,New-Mexico,"(34.0522, -118.2437)",1
Eva,46,Doctor,81468,CORVETTE Y200,New-York,"(40.7128, -74.0060)",7
Grace,29,Nurse,45878,YUKON T1UGF,Arizona,"(39.7392, -104.9903)",9
Bailie,54,Doctor,297520,XT6 C1TL,New-Hampshire,"(37.7749, -122.4194)",6
Garrett,46,Police-Officer,418559,SILVERADO T1ECH HD DBL,Wyoming,"(42.3601, -71.0589)",7
Levi,23,Police-Officer,137395,CANYON 31XGN,Washington,"(39.7392, -104.9903)",7
Levi,49,Lawyer,47335,LCF DSL-JP I-700N,Wyoming,"(42.3601, -71.0589)",2
Charlie,37,Chef,368431,SIERRA T1RGH HD REG,Oregon,"(42.3601, -71.0589)",9
Helen,32,Doctor,53386,SILVERADO T1RCH HD REG,Wyoming,"(25.7617, -80.1918)",0
Charlie,40,Police-Officer,432500,SPARK M2JC,New-York,"(39.7392, -104.9903)",1
Helen,52,Artist,191813,ESCALADE ESV T1YLF,Michigan,"(42.3601, -71.0589)",6
Mattie,37,Lawyer,390839,EXPRESS VAN 610,Washington,"(47.6062, -122.3321)",9
Ivy,37,Data-Engineer,91797,CAMARO A1BC COUPE,Texas,"(41.8781, -87.6298)",0
Levi,49,Mechanic,449667,COLORADO 31XCN,Illinois,"(42.3601, -71.0589)",7
Charlie,51,Designer,208273,CORVETTE Y200,Illinois,"(39.7392, -104.9903)",6
Mattie,56,Lawyer,348799,TERRAIN D2UG,Maine,"(29.7604, -95.3698)",6
Bailie,30,Artist,63436,SILVERADO T1RCH HD REG,Oregon,"(39.7392, -104.9903)",1
Garrett,56,Doctor,423425,MALIBU E2SC,New-Hampshire,"(37.7749, -122.4194)",0
Garrett,36,Police-Officer,334314,TERRAIN D2UG,Alaska,"(37.7749, -122.4194)",3
Grace,38,Lawyer,359781,SIERRA T1EGF LD DBL,New-Jersey,"(42.3601, -71.0589)",0
Charlie,50,Driver,140909,TRAVERSE C1YC2,New-York,"(42.3601, -71.0589)",0
Bob,37,Mechanic,232785,CT4 A2SL,New-York,"(29.7604, -95.3698)",9
Ivy,44,Lawyer,120187,BLAZER C1UC,Indiana,"(34.0522, -118.2437)",5
Mattie,53,Nurse,120474,YUKON XL T1YGF,Texas,"(37.7749, -122.4194)",3
Bob,60,Data-Engineer,190022,CELESTIQ L246,Michigan,"(39.7392, -104.9903)",1
Charlie,44,Driver,207515,BOLT EUV C121,New-York,"(25.7617, -80.1918)",3
